,Linear Regression,Ridge,Lasso,Decision Tree,Random Forest,XGBoost
Hour,0.3480296896123602,0.3479900080415156,0.347210680719632,0.1317969117067635,0.13049595711760908,0.004255786
Wind speed (m/s),-0.0011207331818325356,-0.001120947145206014,-0.0,0.004033892288677903,0.01225109335118221,0.00031583122
Visibility (10m),0.11319640877419662,0.11319698659986643,0.11266169860719108,0.021453937185457867,0.030440423605232657,0.0009005415
Solar Radiation (MJ/m2),0.14799192682024032,0.14801604589379488,0.14727564469801835,0.010347421736250945,0.014866697102852365,0.0009925108
Rainfall(mm),-0.4297433860057787,-0.4296642044234198,-0.42895379907055187,0.12294492654659371,0.11629880471480546,0.032383576
Snowfall (cm),-0.046807613637532386,-0.04681875389446421,-0.04598634933099866,0.0028628395695623897,0.003258017855202363,0.00094220013
Functioning Day,1.190088180457384,1.1898459306720992,1.1880731540874951,0.5123335122137714,0.4825524369285113,0.9061388
Month,0.028346683849128116,0.028379498907090833,0.028238256485532114,0.00671164497755998,0.011548771628037026,0.00080776185
Comfort Index,0.38185813254993967,0.38166883732532625,0.3788598496539978,0.15544313699275328,0.15632150231558853,0.0054196604
Seasons_Spring,-0.1170289081057263,-0.11689080428373769,-0.11388925601455216,0.004793756721815156,0.005119237620232946,0.0021914619
Seasons_Summer,-0.10999710197261399,-0.10976354778728693,-0.10499692738067276,0.00034251726768585506,0.000666319218263824,0.00063051557
Seasons_Winter,-0.3186965774102546,-0.3186202676294096,-0.31755931121539077,0.017602631414597367,0.02147703641393374,0.04261868
Holiday_No Holiday,0.0772549460481312,0.07724200344039193,0.0760723081763627,0.002554151761008416,0.0028746706912775918,0.0015551241
DayOfWeek,-0.020380229830646263,-0.020377237122076553,-0.019278740226459888,0.006778719617502188,0.011829031437270876,0.00084764295
