,Linear Regression,Ridge,Lasso,Decision Tree,Random Forest,XGBoost
Hour,0.3099340577600448,0.3098501217218581,0.0,0.12411725687935819,0.11868404925669132,0.0060941903
Temperature(°C),-0.10730964085571962,-0.09202202472467622,0.0,0.16020208734424093,0.15964330533506285,0.008828309
Humidity(%),-0.5111234609772074,-0.503813472776006,-0.0,0.04298840694572913,0.0752635132252409,0.0053205257
Wind speed (m/s),-0.007690577165056733,-0.007739050197080208,0.0,0.01013941147852211,0.009633998395722097,0.00053795613
Visibility (10m),-0.007277375992374399,-0.007036500744447092,0.0,0.008000929160399177,0.010627623322928001,0.00062063645
Dew point temperature(°C),0.6705695205160038,0.6527237830551976,0.0,0.011495916268530049,0.01273981340751987,0.0008773447
Solar Radiation (MJ/m2),0.035425580079989166,0.03504557747412006,0.0,0.008263037086995748,0.008432086288629032,0.0008900903
Rainfall(mm),-0.3755563800954082,-0.3758149138636265,-0.0,0.09861267049436846,0.07131427749217739,0.018370705
Snowfall (cm),-0.011316506267521613,-0.011463825393775105,-0.0,0.0023833230701798607,0.0019921181935643904,0.000869717
Functioning Day,1.1888879909775132,1.1886107614464614,0.10767181913981272,0.48280492353398874,0.4849511782702381,0.91358656
Month,0.0342322615198159,0.03430084505507907,0.0,0.00965094391326198,0.008511596331767568,0.00082878186
Seasons_Spring,-0.126192108438018,-0.1260753263444541,0.0,0.00395376872448778,0.004685674150772863,0.0023340688
Seasons_Summer,-0.11497608936802758,-0.11467292658942045,0.0,0.00025718801642991043,0.0007867674740576306,0.00077025907
Seasons_Winter,-0.34288321538238997,-0.34260679972424335,-0.0,0.022492124331152257,0.020266837246421105,0.035541013
Holiday_No Holiday,0.07896930420921142,0.07896971812111547,0.0,0.003945623258731163,0.0030118231393229953,0.0033255396
DayOfWeek,-0.015488948370655592,-0.015588310144168631,-0.0,0.010692389493624537,0.009455338469883843,0.0012043135
