,Linear Regression,Ridge,Lasso,Decision Tree,Random Forest,XGBoost
Hour,0.3480296896123602,0.3479900080415156,0.0,0.1326782237394319,0.13016186575931055,0.008358198
Wind speed (m/s),-0.0011207331818325356,-0.001120947145206014,0.0,0.010851771205996265,0.012275869590801255,0.0006195197
Visibility (10m),0.11319640877419662,0.11319698659986643,0.0,0.027787589337006688,0.031099761262075,0.0018991455
Solar Radiation (MJ/m2),0.14799192682024032,0.14801604589379488,0.0,0.014934284711715597,0.014825703989414263,0.0021730636
Rainfall(mm),-0.4297433860057787,-0.4296642044234198,-0.0,0.11663082010138119,0.11637690045902832,0.025628023
Snowfall (cm),-0.046807613637532386,-0.04681875389446421,-0.0,0.0029197266450508887,0.0033572916921135684,0.0023601558
Functioning Day,1.190088180457384,1.1898459306720992,0.10767181913981272,0.48280492353398907,0.48023000677143,0.9027423
Month,0.028346683849128116,0.028379498907090833,0.0,0.011788049269205557,0.011591129248405796,0.0016007983
Comfort Index,0.38185813254993967,0.38166883732532625,0.0,0.16308173610372073,0.15849874957029386,0.009077606
Seasons_Spring,-0.1170289081057263,-0.11689080428373769,0.0,0.005144170687700136,0.005455627553041455,0.0025948845
Seasons_Summer,-0.10999710197261399,-0.10976354778728693,0.0,0.0007639113398348861,0.0006746052602773139,0.0007420391
Seasons_Winter,-0.3186965774102546,-0.3186202676294096,-0.0,0.016670268013345806,0.02063528520137916,0.03616136
Holiday_No Holiday,0.0772549460481312,0.07724200344039193,0.0,0.00240644171194435,0.002805805004114975,0.004602593
DayOfWeek,-0.020380229830646263,-0.020377237122076553,-0.0,0.011538083599676762,0.012011398638314609,0.001440363
