,Model,Data,Train RMSE,Test RMSE,Train MSE,Test MSE,Train MAE,Test MAE,Train R2 Score,Test R2 Score
0,Linear Regression,All Data,0.6815712925126945,0.6676253896207764,0.4645394267774251,0.4457236608662935,0.5017729883822841,0.4898595194791675,0.8172017404205631,0.8130188512186667
1,Ridge Regression,All Data,0.6815733441909345,0.6675855398535937,0.46454222351161406,0.4456704530216142,0.5017888723925809,0.489838072322605,0.8172006398936482,0.8130411719182297
2,Lasso Regression,All Data,1.521292695448524,1.4727787584812,2.3143314652250355,2.1690772714334248,1.1231780139480645,1.0900016926726286,0.08930062865091704,0.09007172915201134
3,Decision Tree,All Data,9.822675011235323e-18,0.5268981748142442,9.648494437634684e-35,0.27762168662258185,2.1726477977008933e-19,0.3195118386282649,1.0,0.8835376569634847
4,Random Forest,All Data,0.1481196424105411,0.3820159031053612,0.021939428467826563,0.14593615022540474,0.08998864712603431,0.23697756926463343,0.9913667406706304,0.9387797610635327
5,XGBoost,All Data,0.15209428208074235,0.3771709014914566,0.023132670641656423,0.14225788893187805,0.10550546951570959,0.22759580803851506,0.9908971947503926,0.9403227922789831
6,Linear Regression,New Data,0.7035961178882731,0.6892915567657479,0.4950474971074487,0.4751228502285483,0.5163138899599639,0.5058523453108064,0.8051966837171041,0.8006858864630816
7,Ridge Regression,New Data,0.7035961724007783,0.6892782634131036,0.4950475738170258,0.4751045244137838,0.516335190512024,0.5058666669265014,0.805196653531556,0.8006935741453787
8,Lasso Regression,New Data,1.521292695448524,1.4727787584812,2.3143314652250355,2.1690772714334248,1.1231780139480645,1.0900016926726286,0.08930062865091704,0.09007172915201134
9,Decision Tree,New Data,9.822675011235323e-18,0.5575825317600905,9.648494437634684e-35,0.31089827972399237,2.1726477977008933e-19,0.32986260040167154,1.0,0.8695781207038711
10,Random Forest,New Data,0.16358163420106833,0.39859357583244115,0.026758951047892127,0.158876838694892,0.09563571228626366,0.2424481131287572,0.9894702378360886,0.9333511401297835
11,XGBoost,New Data,0.18844084809324502,0.395193018872821,0.03550995323010144,0.15617752216581385,0.125612631640989,0.24553124254542164,0.986026680892858,0.9344835038561123
